DATE		OPPONENT									LOCATION
------------------------------------------------------------------------------------------				
Sept. 9		Powerade Cougar Classic						Charleston, S.C. (Yeamans Hall GC)
Sept. 10	Powerade Cougar Classic						Charleston, S.C. (Yeamans Hall GC)
Sept. 11	Powerade Cougar Classic						Charleston, S.C. (Yeamans Hall GC)
Sept. 17	ANNIKA Intercollegiate Presented by 3M		Lake Elmo, Minn. (Olympic Hills GC)
Sept. 18	ANNIKA Intercollegiate Presented by 3M		Lake Elmo, Minn. (Olympic Hills GC)
Sept. 19	ANNIKA Intercollegiate Presented by 3M		Lake Elmo, Minn. (Olympic Hills GC)

Oct. 12		Ruth's Chris Tar Heel Invitational			Chapel Hill, N.C. (UNC Finley Golf Course)
Oct. 13		Ruth's Chris Tar Heel Invitational			Chapel Hill, N.C. (UNC Finley Golf Course)
Oct. 14		Ruth's Chris Tar Heel Invitational			Chapel Hill, N.C. (UNC Finley Golf Course)
Oct. 26		The Landfall Tradition						Wilmington, N.C. (CC of Landfall)
Oct. 27		The Landfall Tradition						Wilmington, N.C. (CC of Landfall)
Oct. 28		The Landfall Tradition						Wilmington, N.C. (CC of Landfall)

Feb. 10		Lady Puerto Rico Classic					San Juan, PR (Rio Del Mar River Course)
Feb. 11		Lady Puerto Rico Classic					San Juan, PR (Rio Del Mar River Course)
Feb. 12		Lady Puerto Rico Classic					San Juan, PR (Rio Del Mar River Course)

March 8		Darius Rucker Intercollegiate				Hilton Head, S.C. (Long Cove Club)
March 9		Darius Rucker Intercollegiate				Hilton Head, S.C. (Long Cove Club)
March 10	Darius Rucker Intercollegiate				Hilton Head, S.C. (Long Cove Club)
March 23	Evans-Derby Experience						Auburn, Ala. (Auburn University Club)
March 24	Evans-Derby Experience						Auburn, Ala. (Auburn University Club)
March 25	Evans-Derby Experience						Auburn, Ala. (Auburn University Club)

April 11	Liz Murphey Collegiate Classic				Athens, Ga. (UGA Golf Course)
April 12	Liz Murphey Collegiate Classic				Athens, Ga. (UGA Golf Course)
April 13	Liz Murphey Collegiate Classic				Athens, Ga. (UGA Golf Course)
April 17	SEC Championship							Birmingham, Ala. (Greystone Golf and CC)
April 18	SEC Championship							Birmingham, Ala. (Greystone Golf and CC)
April 19	SEC Championship							Birmingham, Ala. (Greystone Golf and CC)
April 20	SEC Championship							Birmingham, Ala. (Greystone Golf and CC)
April 21	SEC Championship							Birmingham, Ala. (Greystone Golf and CC)

May 6		NCAA Regional Championship					TBA
May 7		NCAA Regional Championship					TBA
May 8		NCAA Regional Championship					TBA
May 17		NCAA Championship							BLESSINGS GOLF CLUB
May 18		NCAA Championship							BLESSINGS GOLF CLUB
May 20		NCAA Championship							BLESSINGS GOLF CLUB
May 21		NCAA Championship							BLESSINGS GOLF CLUB
May 22		NCAA Championship							BLESSINGS GOLF CLUB
